30 &   9.067670 &  -7.203910 &  -1.324610 &   1.131718 &   1.385890 & 143 \\
31 &   9.049814 &  -7.241460 &  -1.199403 &   1.082326 &   1.420024 & 189 \\
32 &  -0.000616 &   1.980352 &  -2.981627 &   0.996061 &   0.000135 & 119 \\
33 &   9.489949 &  -7.053325 &  -1.624972 &   1.170708 &   1.952996 & 207 \\
34 &   8.782972 &  -8.496081 &  -0.327933 &   0.936551 &   2.140380 & 127 \\
35 &   9.879600 &  -7.477970 &  -1.840080 &   1.269844 &   3.112793 & 223 \\
36 &  -0.010575 &   1.996177 &  -2.988757 &   0.997152 &   0.000125 & 216 \\
37 &  10.000000 &  -7.143958 &  -2.613983 &   1.476889 &   5.060357 & 177 \\
38 &  10.000000 &  -5.690887 &  -3.970411 &   1.756020 &   6.547004 & 267 \\
39 &  10.000000 &  -6.580623 &  -3.577484 &   1.724563 &   7.876926 & 225 \\
40 &  10.000000 &  -7.575929 &  -3.119486 &   1.684010 &   9.493210 & 240 \\
