
 OVO Algorithm for Measles

 Number of outliers:  1
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        2.225928E-02            -            1
     1             2        1.436478E-02      3.647434E-01       1
     2             2        1.320953E-02      1.171661E-01       1
     3             2        1.261332E-02      8.210966E-02       1
     4             3        1.257295E-02      6.384998E-02       1
     5             3        1.253413E-02      6.260579E-02       1
     6             3        1.249678E-02      6.140768E-02       1
     7             1        1.214116E-02      2.022548E-02       2
     8             3        1.211757E-02      4.875609E-02       1
     9             1        1.185860E-02      1.710694E-02       2
    10             1        1.166081E-02      1.484892E-02       2
    11             3        1.164961E-02      3.356702E-02       1
    12             1        1.149849E-02      1.290095E-02       2
    13             3        1.149046E-02      2.840852E-02       1
    14             1        1.137290E-02      1.132349E-02       2
    15             1        1.127880E-02      1.009410E-02       2
    16             2        1.127210E-02      2.124290E-02       1
    17             1        1.118304E-02      8.436384E-03       2
    18             1        1.111464E-02      7.618609E-03       2
    19             1        1.106987E-02      6.900770E-03       2
    20             1        1.103282E-02      6.266961E-03       2
    21             1        1.100203E-02      5.705110E-03       2
    22             1        1.097633E-02      5.205709E-03       2
    23             1        1.095479E-02      4.760990E-03       2
    24             1        1.093665E-02      4.364400E-03       2
    25             1        1.092130E-02      4.010290E-03       2
    26             1        1.090825E-02      3.693713E-03       2
    27             1        1.089711E-02      3.410309E-03       2
    28             1        1.088756E-02      3.156221E-03       2
    29             1        1.087932E-02      2.928039E-03       2
    30             1        1.087218E-02      2.722751E-03       2
    31             1        1.086598E-02      2.537701E-03       2
    32             1        1.086055E-02      2.370553E-03       2
    33             1        1.085579E-02      2.219256E-03       2
    34             1        1.085160E-02      2.082008E-03       2
    35             1        1.084789E-02      1.957230E-03       2
    36             1        1.084459E-02      1.843540E-03       2
    37             1        1.084165E-02      1.739723E-03       2
    38             1        1.083903E-02      1.644715E-03       2
    39             1        1.083667E-02      1.557583E-03       2
    40             1        1.083454E-02      1.477505E-03       2
    41             1        1.083262E-02      1.403759E-03       2
    42             1        1.083088E-02      1.335707E-03       2
    43             1        1.082930E-02      1.272787E-03       2
    44             1        1.082786E-02      1.214503E-03       2
    45             1        1.082655E-02      1.160413E-03       2
    46             1        1.082534E-02      1.110126E-03       2
    47             1        1.082423E-02      1.063295E-03       2
    48             1        1.082322E-02      1.019610E-03       2
    49             1        1.082228E-02      9.787936E-04       2
    50             1        1.082141E-02      9.405988E-04       2
    51             1        1.082141E-02      4.080095E-05       3
 -------------------------------------------------------------------

 Number of outliers:  2
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        1.073366E-02            -            3
     1             1        1.073366E-02      4.079881E-05       3
 -------------------------------------------------------------------

 Number of outliers:  3
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        1.032890E-02            -            3
     1             1        1.032890E-02      4.079667E-05       3
 -------------------------------------------------------------------

 Number of outliers:  4
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        8.328500E-03            -            1
     1             1        8.303435E-03      5.463672E-03       1
     2             1        8.290790E-03      3.794681E-03       1
     3             1        8.283200E-03      2.902617E-03       1
     4             1        8.282452E-03      8.695673E-04       2
     5             1        8.281734E-03      8.523925E-04       2
     6             1        8.281044E-03      8.357063E-04       2
     7             1        8.280380E-03      8.194928E-04       2
     8             1        8.279741E-03      8.037365E-04       2
     9             1        8.279126E-03      7.884226E-04       2
    10             1        8.278534E-03      7.735365E-04       2
    11             1        8.277964E-03      7.590642E-04       2
    12             1        8.277415E-03      7.449922E-04       2
    13             1        8.276886E-03      7.313072E-04       2
    14             1        8.276376E-03      7.179966E-04       2
    15             1        8.275884E-03      7.050480E-04       2
    16             1        8.275410E-03      6.924496E-04       2
    17             1        8.274952E-03      6.801900E-04       2
    18             1        8.274510E-03      6.682580E-04       2
    19             1        8.274083E-03      6.566429E-04       2
    20             1        8.273670E-03      6.453345E-04       2
    21             1        8.273272E-03      6.343227E-04       2
    22             1        8.272887E-03      6.235979E-04       2
    23             1        8.272514E-03      6.131509E-04       2
    24             1        8.272154E-03      6.029726E-04       2
    25             1        8.271806E-03      5.930546E-04       2
    26             1        8.271468E-03      5.833884E-04       2
    27             1        8.271142E-03      5.739660E-04       2
    28             1        8.270826E-03      5.647796E-04       2
    29             1        8.270520E-03      5.558219E-04       2
    30             1        8.270223E-03      5.470855E-04       2
    31             1        8.269936E-03      5.385636E-04       2
    32             1        8.269657E-03      5.302495E-04       2
    33             1        8.269387E-03      5.221366E-04       2
    34             1        8.269124E-03      5.142188E-04       2
    35             1        8.268870E-03      5.064901E-04       2
    36             1        8.268623E-03      4.989446E-04       2
    37             1        8.268384E-03      4.915769E-04       2
    38             1        8.268151E-03      4.843813E-04       2
    39             1        8.267925E-03      4.773529E-04       2
    40             1        8.267705E-03      4.704865E-04       2
    41             1        8.267492E-03      4.637774E-04       2
    42             1        8.267284E-03      4.572208E-04       2
    43             1        8.267083E-03      4.508122E-04       2
    44             1        8.266977E-03      3.254831E-04       3
    45             1        8.266873E-03      3.232825E-04       3
    46             1        8.266771E-03      3.211026E-04       3
    47             1        8.266670E-03      3.189434E-04       3
    48             1        8.266570E-03      3.168045E-04       3
    49             1        8.266471E-03      3.146859E-04       3
    50             1        8.266374E-03      3.125872E-04       3
    51             1        8.266278E-03      3.105083E-04       3
    52             1        8.266184E-03      3.084489E-04       3
    53             1        8.266090E-03      3.064090E-04       3
    54             1        8.265998E-03      3.043882E-04       3
    55             1        8.265907E-03      3.023864E-04       3
    56             1        8.265817E-03      3.004034E-04       3
    57             1        8.265729E-03      2.984390E-04       3
    58             1        8.265641E-03      2.964931E-04       3
    59             1        8.265555E-03      2.945705E-04       3
    60             1        8.265470E-03      2.926657E-04       3
    61             1        8.265386E-03      2.907787E-04       3
    62             1        8.265303E-03      2.889091E-04       3
    63             1        8.265222E-03      2.870568E-04       3
